word, meaning, partOfSpeech
defray, bear the expenses of, verb
unleash, release or vent, verb
instructed, impart skills or knowledge to, verb
slatting, equip or bar with slats, verb
curved, turn sharply; change direction abruptly, verb
thatching, cover with thatch, verb
jacketed, provide with a thermally non-conducting cover, verb
bolting, move or jump suddenly, verb
mused, reflect deeply on a subject, verb
mistaken, identify incorrectly, verb
publish, put into print, verb
charting, make a chart of, verb
facilitate, make easier, verb
dissecting, cut open or cut apart, verb
refract, subject to refraction, verb
disassociate, part; cease or break association with, verb
coopering, make barrels and casks, verb
bumming, ask for and get free; be a parasite, verb
parted, go one's own way; move apart, verb
overdo, do something to an excessive degree, verb
fluoridate, subject to fluoridation; treat with fluoride, verb
rectify, math: determine the length of, verb
recalculate, calculate anew, verb
uncoiled, unwind or untwist, verb
stinted, subsist on a meager allowance, verb
gruntling, cause to be more favorably inclined; gain the good will of, verb
assassinate, murder; especially of socially prominent persons, verb
subjugate, put down by force or intimidation, verb
admiring, feel admiration for, verb
strapping, tie with a strap, verb
disinvest, deprive of status or authority, verb
earning, earn on some commercial or business transaction; earn as salary or wages, verb
scrounging, collect or look around for (food), verb
singed, burn superficially or lightly, verb
knap, strike sharply, verb
economize, use cautiously and frugally, verb
chipped, break off (a piece from a whole), verb
reimpose, impose anew, verb
intimidate, make timid or fearful, verb
beshrew, wish harm upon; invoke evil upon, verb
willed, decree or ordain, verb
staffed, provide with staff, verb
superimpose, place on top of, verb
combed, straighten with a comb, verb
underprice, sell at artificially low prices, verb
gartering, fasten with or as if with a garter, verb
slinking, walk stealthily, verb
impanel, enter into a list of prospective jurors, verb
channelize, direct the course; determine the direction of travelling, verb
spotted, catch sight of, verb
savored, derive or receive pleasure from; get enjoyment from; take pleasure in, verb
ranked, take or have a position relative to others, verb
meditate, reflect deeply on a subject, verb
unhitch, unfasten or release from or as if from a hitch, verb
destabilize, become unstable, verb
live, inhabit or live in; be an inhabitant of, verb
menstruate, undergo menstruation, verb
knead, make uniform, verb
brattle, make a rattling sound, verb
jellify, become jelly, verb
centralize, make central, verb
induced, cause to arise, verb
suppressed, to put down by force or authority, verb
consist, originate (in), verb
justify, show to be reasonable or provide adequate ground for, verb
bridling, anger or take offense, verb
springing, move forward by leaps and bounds, verb
disincline, make unwilling, verb
polychromize, color with many colors; make polychrome, verb
unbolted, undo the bolt of, verb
imbue, spread or diffuse through, verb
resting, not move; be in a resting position, verb
flaunting, display proudly; act ostentatiously or pretentiously, verb
write, produce a literary work, verb
pressurize, increase the pressure on a gas or liquid, verb
cussed, utter obscenities or profanities, verb
bestialize, make brutal and depraved; give animal-like qualities to, verb
disorganize, remove the organization from, verb
enroll, register formally as a participant or member, verb
corrupt, corrupt morally or by intemperance or sensuality, verb
natter, talk socially without exchanging too much information, verb
skiving, remove the surface of, verb
galumph, move around heavily and clumsily, verb
bronzing, give the color and appearance of bronze to something, verb
uncrossed, change from a crossed to an uncrossed position, verb
contain, include or contain; have as a component, verb
despond, lose confidence or hope; become dejected, verb
mispronounce, pronounce a word incorrectly, verb
rehouse, put up in a new or different housing, verb
blunt, make less intense, verb
saintess, hold sacred, verb
withdrawn, pull back or move away or backward, verb
confound, be confusing or perplexing to; cause to be unable to think clearly, verb
debating, argue with one another, verb
astounding, affect with wonder, verb
delocalize, remove from the proper or usual locality, verb
unfroze, become or cause to become soft or liquid, verb
unbuttoned, undo the buttons of, verb
subsume, contain or include, verb
aping, imitate uncritically and in every aspect, verb
devastating, cause extensive destruction or ruin utterly, verb
harmonize, go together, verb
frapping, make secure by lashing, verb
dispossess, deprive of the possession of real estate, verb
crabbed, direct (an aircraft) into a crosswind, verb
retouch, give retouches to (hair), verb
egest, eliminate from the body, verb
indite, produce a literary work, verb
glorying, rejoice proudly, verb
diverging, move or draw apart, verb
reactivate, activate (an old file) anew, verb
converting, change from one system to another or to a new plan or policy, verb
fishtail, slow down by moving the tail sideways, verb
rhapsodize, recite a rhapsody, verb
revivify, give new life or energy to, verb
kibosh, stop from happening or developing, verb
attached, cause to be attached, verb
compressed, make more compact by or as if by pressing, verb
equiped, provide with (something) usually for a specific purpose, verb
interwoven, interlace by or as if by weaving, verb
canted, heel over, verb
scant, work hastily or carelessly; deal with inadequately and superficially, verb
wintering, spend the winter, verb
personating, pretend to be someone you are not; sometimes with fraudulent intentions, verb
plagiarize, take without referencing from someone else's writing or speech; of intellectual property, verb
captivating, attract; cause to be enamored, verb
piddling, waste time; spend one's time idly or inefficiently, verb
radiated, send out rays or waves, verb
ruined, destroy completely; damage irreparably, verb
recriminate, return an accusation against someone or engage in mutual accusations; charge in return, verb
diddle, deprive of by deceit, verb
palled, become friends; act friendly towards, verb
realign, align anew or better, verb
foreshow, foretell by divine inspiration, verb
vying, compete for something; engage in a contest; measure oneself against others, verb
caged, confine in a cage, verb
expostulating, reason with (somebody) for the purpose of dissuasion, verb
blasting, make a strident sound, verb
consulting, get or ask advice from, verb
recode, put into a different code; rearrange mentally, verb
crossbred, breed animals or plants using parents of different races and varieties, verb
misstate, state something incorrectly, verb
misled, lead someone in the wrong direction or give someone wrong directions, verb
revamp, to patch up or renovate; repair or restore, verb
steeling, get ready for something difficult or unpleasant, verb
elevate, give a promotion to or assign to a higher position, verb
unlearnt, try to forget; put out of one's memory or knowledge, verb
precook, cook beforehand so that the actual preparation won't take long, verb
medicate, impregnate with a medicinal substance, verb
baffling, be a mystery or bewildering to, verb
accept, consider or hold as true, verb
airt, channel into a new direction, verb
reinterpret, interpret from a different viewpoint, verb
horned, stab or pierce with a horn or tusk, verb
demonetize, deprive of value for payment, verb
precess, move in a gyrating fashion, verb
redispose, dispose anew, verb
whimpering, cry weakly or softly, verb
contending, maintain or assert, verb
stapling, secure or fasten with a staple or staples, verb
gauging, judge tentatively or form an estimate of (quantities or time), verb
belong, be owned by; be in the possession of, verb
slake, satisfy (thirst), verb
abate, make less active or intense, verb
absconded, run away; usually includes taking something or somebody along, verb
dicing, cut into cubes, verb
tousle, disarrange or rumple; dishevel, verb
redistribute, distribute anew, verb
enlisted, join the military, verb
evangelize, preach the gospel (to), verb
reposed, put or confide something in a person or thing, verb
strengthen, make strong or stronger, verb
undersign, sign at the bottom of (a document), verb
bequeath, leave or give by will after one's death, verb
gan, separate the seeds from (cotton) with a cotton gin, verb
fooling, make a fool or dupe of, verb
stunted, check the growth or development of, verb
counterpose, constitute a counterweight or counterbalance to, verb
sewn, fasten by sewing; do needlework, verb
farcing, fill with a stuffing while cooking, verb
slog, work doggedly or persistently, verb
furnished, give something useful or necessary to, verb
amaze, affect with wonder, verb
misadvised, give bad advice to, verb
expostulate, reason with (somebody) for the purpose of dissuasion, verb
rapping, strike sharply, verb
capsulated, enclose in a capsule, verb
declared, state emphatically and authoritatively, verb
satisfy, meet the requirements or expectations of, verb
misdemean, behave badly, verb
hypnotize, induce hypnosis in, verb
glowering, look at with a fixed gaze, verb
surrounded, extend on all sides of simultaneously; encircle, verb
improve, to make better, verb
repoint, repair the joints of bricks, verb
incriminate, suggest that someone is guilty, verb
damascened, inlay metal with gold and silver, verb
relocate, become established in a new location, verb
equilibrate, bring to a chemical stasis or equilibrium, verb
beseeching, ask for or request earnestly, verb
inosculate, come together or open into each other, verb
unified, become one, verb
naturalize, make into a citizen, verb
republish, publish again, verb
reformed, make changes for improvement in order to remove abuse and injustices, verb
undershoot, fall short of (the runway) in a landing, verb
sear, make very hot and dry, verb
laboring, strive and make an effort to reach a goal, verb
bracketing, support with brackets, verb
netted, make as a net profit, verb
transmit, transfer to another, verb
interlard, introduce one's writing or speech with certain expressions, verb
rated, assign a rank or rating to, verb
blacken, make or become black, verb
meant, mean or intend to express or convey, verb
sift, move as if through a sieve, verb
instigate, provoke or stir up, verb
gauffered, make wavy with a heated goffering iron, verb
nailing, attach something somewhere by means of nails, verb
proselytize, convert to another faith or religion, verb
roughhouse, engage in rough or disorderly play, verb
grudging, bear a grudge; harbor ill feelings, verb
inspan, attach a yoke or harness to, verb
detoxicate, remove poison from, verb
unrolling, reverse the winding or twisting of, verb
crystallized, cause to take on a definite and clear shape, verb
unweave, undo strands that have been woven together, verb
maturing, develop and reach maturity; undergo maturation, verb
upheld, keep or maintain in unaltered condition; cause to remain or last, verb
dehydrogenate, remove hydrogen from, verb
slicking, make slick or smooth, verb
reshoot, shoot again, verb
succeed, attain success or reach a desired goal, verb
horning, stab or pierce with a horn or tusk, verb
deprave, corrupt morally or by intemperance or sensuality, verb
written, produce a literary work, verb
acuminate, make sharp or acute; taper; make (something) come to a point, verb
pluralize, mark with a grammatical morpheme that indicates plural, verb
encrypt, convert ordinary language into code, verb
westernize, make western in character, verb
negate, be in contradiction with, verb
immolate, offer as a sacrifice by killing or by giving up to destruction, verb
gated, supply with a gate, verb
rubify, make ruby red, verb
voided, declare invalid, verb
reinforce, make stronger, verb
deplane, get off an airplane, verb
distilling, undergo condensation; change from a gaseous to a liquid state and fall in drops, verb
crushed, come down on or keep down by unjust use of one's authority, verb
peruse, examine or consider with attention and in detail, verb
vitalize, give life to, verb
skied, move along on skis, verb
retry, hear or try a court case anew, verb
interpenetrate, penetrate mutually or be interlocked, verb
obnubilate, make less visible or unclear, verb
ingratiating, gain favor with somebody by deliberate efforts, verb
humble, cause to be unpretentious, verb
fatten, make fat or plump, verb
entangle, entrap, verb
extort, obtain through intimidation, verb
rooted, take root and begin to grow, verb
blazoning, decorate with heraldic arms, verb
exhort, spur on or encourage especially by cheers and shouts, verb
reprocess, use again after processing, verb
iridesce, be iridescent, verb
accuse, bring an accusation against; level a charge against, verb
chirping, make high-pitched sounds, verb
kneading, make uniform, verb
disturbed, move deeply, verb
reflate, economics: experience reflation, verb
uniformed, provide with uniforms, verb
shriven, grant remission of a sin to, verb
unwire, undo the wiring of, verb
believe, accept as true; take to be true, verb
warped, make false by mutilation or addition; as of a message or story, verb
introduce, cause to come to know personally, verb
defraud, deprive of by deceit, verb
reheat, heat again, verb
insinuating, introduce or insert (oneself) in a subtle manner, verb
wondering, have a wish or desire to know something, verb
comminute, reduce to small pieces or particles by pounding or abrading, verb
deliquesce, melt away in the process of decay, verb
hypothesize, to believe especially on uncertain or tentative grounds, verb
supposing, express a supposition, verb
agitate, try to stir up public opinion, verb
decry, express strong disapproval of, verb
blandish, praise somewhat dishonestly, verb
unblocked, clear or remove an obstruction from, verb
bewray, reveal unintentionally, verb
salted, add salt to, verb
diagnose, determine or distinguish the nature of a problem or an illness through a diagnostic analysis, verb
practiced, carry out or practice; as of jobs and professions, verb
aggress, take the initiative and go on the offensive, verb
smatter, work with in an amateurish manner, verb
dispel, force to go away; used both with concrete and metaphoric meanings, verb
rewarding, bestow honor or rewards upon, verb
relate, make a logical or causal connection, verb
degrease, remove grease or oil from (a pan), verb
watched, look attentively, verb
potentiate, increase the effect of or act synergistically with (a drug or a physiological or biochemical phenomenon), verb
apply, put into service; make work or employ for a particular purpose or for its inherent or natural purpose, verb
labored, strive and make an effort to reach a goal, verb
barred, prevent from entering; keep out, verb
introverted, fold inwards, verb
unmuzzle, remove the muzzle from (a dog), verb
nab, tag the base runner to get him out, verb
lettered, win an athletic letter, verb
enclose, enclose or enfold completely with or as if with a covering, verb
hybridize, breed animals or plants using parents of different races and varieties, verb
mobilize, make ready for action or use, verb
attract, direct toward itself or oneself by means of some psychological power or physical attributes, verb
reassuring, cause to feel sure; give reassurance to, verb
lobed, propel in a high arc, verb
deflate, collapse by releasing contained air or gas, verb
fished, seek indirectly, verb
reintroduce, introduce anew, verb
supercharged, increase or raise, verb
collide, be incompatible; be or come into conflict, verb
obfuscate, make obscure or unclear, verb
unchain, remove the chains from, verb
protract, lengthen in time; cause to be or last longer, verb
imperil, pose a threat to; present a danger to, verb
automatize, turn into an automaton, verb
chaffing, be silly or tease one another, verb
intended, have in mind as a purpose, verb
maledict, wish harm upon; invoke evil upon, verb
horripilate, have one's hair stand on end and get goosebumps, verb
morph, cause to change shape in a computer animation, verb
cocking, tilt or slant to one side, verb
bowdlerize, edit by omitting or modifying parts considered indelicate, verb
insure, be careful or certain to do something; make certain of something, verb
eat, take in solid food, verb
summerize, prepare for summer, verb
butcheress, kill (animals) usually for food consumption, verb
interwove, interlace by or as if by weaving, verb
conventionalize, make conventional or adapt to conventions, verb
initialize, assign an initial value to a computer program, verb
polished, make (a surface) shine, verb
betted, maintain with or as if with a bet, verb
undernourished, provide with insufficient quality or quantity of nourishment, verb
confused, mistake one thing for another, verb
enliven, heighten or intensify, verb
bottled, store (liquids or gases) in bottles, verb
pouched, put into a small bag, verb
cozen, be false to; be dishonest with, verb
jesting, tell a joke; speak humorously, verb
priced, determine the price of, verb
recurring, happen or occur again, verb
commemorate, mark by some ceremony or observation, verb
slow, lose velocity; move more slowly, verb
starred, feature as the star, verb
splitting, separate into parts or portions, verb
pinching, squeeze tightly between the fingers, verb
baked, cook and make edible by putting in a hot oven, verb
grizzled, be in a huff; be silent or sullen, verb
capitalize, draw advantages from, verb
discontenting, make dissatisfied, verb
chiseled, engage in deceitful behavior; practice trickery or fraud, verb
destine, decree or designate beforehand, verb
diluted, lessen the strength or flavor of a solution or mixture, verb
astound, affect with wonder, verb
opposing, be against; express opposition to, verb
exasperating, exasperate or irritate, verb
wearying, exhaust or get tired through overuse or great strain or stress, verb
unboxed, remove from a box, verb
pilfer, make off with belongings of others, verb
branded, burn with a branding iron to indicate ownership; of animals, verb
metrify, compose in poetic meter, verb
anthologize, compile an anthology, verb
unstrained, cause to feel relaxed, verb
dissociate, part; cease or break association with, verb
perform, carry out or perform an action, verb
doubled, increase twofold, verb
surmised, infer from incomplete evidence, verb
daunting, cause to lose courage, verb
unlace, undo the ties of, verb
favoring, promote over another, verb
elide, leave or strike out, verb
overreach, fail by aiming too high or trying too hard, verb
underpin, support from beneath, verb
burring, remove the burrs from, verb
deconcentrate, make less central, verb
sermonize, speak as if delivering a sermon; express moral judgements, verb
undergird, lend moral support to, verb
deify, consider as a god or godlike, verb
fruiting, cause to bear fruit, verb
cracked, become fractured; break or crack on the surface only, verb
bushwhacking, wait in hiding to attack, verb
conclude, decide by reasoning; draw or come to a conclusion, verb
fraying, wear away by rubbing, verb
disinherit, prevent deliberately (as by making a will) from inheriting, verb
outbrave, resist bravely, verb
jarring, be incompatible; be or come into conflict, verb
decompress, restore to its uncompressed form, verb
mongrelize, cause to become a mongrel, verb
forestall, keep from happening or arising; make impossible, verb
disqualify, make unfit or unsuitable, verb
bury, cover from sight, verb
convene, meet formally, verb
substituted, put in the place of another; switch seemingly equivalent items, verb
endure, put up with something or somebody unpleasant, verb
discriminate, recognize or perceive the difference, verb
stippled, engrave by means of dots and flicks, verb
throwing, propel through the air, verb
pardoning, accept an excuse for, verb
underproduce, produce below capacity or demand, verb
procrastinating, postpone doing what one should be doing, verb
overrate, make too high an estimate of, verb
perished, pass from physical life and lose all bodily attributes and functions necessary to sustain life, verb
ennobling, confer dignity or honor upon, verb
burglarize, commit a burglary; enter and rob a dwelling, verb
jolting, move or cause to move with a sudden jerky motion, verb
soured, go sour or spoil, verb
styling, designate by an identifying term, verb
misdate, assign the wrong date to, verb
fructify, become productive or fruitful, verb
up, raise, verb
confabulate, unconsciously replace fact with fantasy in one's memory, verb
suckle, suck milk from the mother's breasts, verb
overcloud, become covered with clouds, verb
articulate, provide with a joint, verb
disgusted, fill with distaste, verb
prosper, make steady progress; be at the high point in one's career or reach a high point in historical significance or importance, verb
whipped, beat severely with a whip or rod, verb
cloying, supply or feed to surfeit, verb
shirk, avoid (one's assigned duties), verb
bumping, knock against with force or violence, verb
angulate, make or become angular, verb
optimize, make optimal; get the most out of; use best, verb
preoccupy, engage or engross the interest or attention of beforehand or occupy urgently or obsessively, verb
forborne, refrain from doing, verb
unthawing, become or cause to become soft or liquid, verb
squelching, suppress or crush completely, verb
castigate, censure severely, verb
ranging, change or be different within limits, verb
expectorate, clear out the chest and lungs, verb
calligraph, write beautifully and ornamentally, verb
indented, set in from the margin, verb
accumulate, get or gather together, verb
louden, become louder, verb
bummed, ask for and get free; be a parasite, verb
ridding, relieve from, verb
thirsting, feel the need to drink, verb
decommission, withdraw from active service, verb
timed, measure the time or duration of an event or action or the person who performs an action in a certain period of time, verb
grafted, cause to grow together parts from different plants, verb
unyoked, remove the yoke from, verb
enduring, put up with something or somebody unpleasant, verb
indisposed, make unwilling, verb
stranding, leave stranded or isolated with little hope of rescue, verb
swayed, move back and forth or sideways, verb
backslap, display excessive cordiality (towards), verb
reharmonize, provide with a different harmony, verb
speculate, to believe especially on uncertain or tentative grounds, verb
reflect, manifest or bring back, verb
besprinkle, scatter with liquid; wet lightly, verb
seethe, be noisy with activity, verb
overeat, overeat or eat immodestly; make a pig of oneself, verb
decontrol, relax or remove controls of, verb
bobbing, move up and down repeatedly, verb
rename, assign a new name to, verb
enthrall, hold spellbound, verb
praising, express approval of, verb
aspiring, have an ambitious plan or a lofty goal, verb
neighboress, live or be located as a neighbor, verb
proved, be shown or be found to be, verb
deter, try to prevent; show opposition to, verb
unlocked, open the lock of, verb
uncurl, move out of a curled position, verb
abstain, refrain from voting, verb
loose, grant freedom to; free from confinement, verb
misgovern, govern badly, verb
overtake, catch up with and possibly overtake, verb
erase, remove from memory or existence, verb
abduce, advance evidence for, verb
lined, be in line with; form a line along, verb
embower, enclose in a bower, verb
secede, withdraw from an organization or communion, verb
forsaken, leave someone who needs or counts on you; leave in the lurch, verb
stickle, dispute or argue stubbornly (especially minor points), verb
bituminize, treat with bitumen, verb
invest, make an investment, verb
jellied, make into jelly, verb
pussyfooting, to go stealthily or furtively, verb
blindfolded, cover the eyes of (someone) to prevent him from seeing, verb
knitted, make (textiles) by knitting, verb
alkalify, turn basic and less acidic, verb
postpose, place after another constituent in the sentence, verb
backbite, say mean things, verb
untwisting, cause to become untwisted, verb
scorned, look down on with disdain, verb
dreamt, have a daydream; indulge in a fantasy, verb
slay, kill intentionally and with premeditation, verb
pinched, squeeze tightly between the fingers, verb
chucking, throw carelessly, verb
preen, clean with one's bill, verb
barreled, put in barrels, verb
rearrange, put into a new order or arrangement, verb
appealing, take a court case to a higher court for review, verb
sheathed, cover with a protective sheathing, verb
renormalize, make normal or cause to conform to a norm or standard, verb
geminated, form by reduplication, verb
domineer, rule or exercise power over (somebody) in a cruel and autocratic manner, verb
matted, twist together or entwine into a confusing mass, verb
reforest, forest anew, verb
simulate, reproduce someone's behavior or looks, verb
administrate, work in an administrative capacity; supervise or be in charge of, verb
skidded, slide without control, verb
crackled, make a crackling sound, verb
warranted, show to be reasonable or provide adequate ground for, verb
structured, give a structure to, verb
underdevelop, process (a film or photographic plate) less than the required time or in an ineffective solution or at an insufficiently high temperature, verb
done, engage in, verb
jeweling, adorn or decorate with precious stones, verb
exhilarating, fill with sublime emotion, verb
assumed, take to be the case or to be true; accept without verification or proof, verb
stippling, engrave by means of dots and flicks, verb
embark, go on board, verb
tyrannizing, rule a country as a tyrant, verb
slopped, cause or allow (a liquid substance) to run or flow from a container, verb
smelled, inhale the odor of; perceive by the olfactory sense, verb
embezzle, appropriate (as property entrusted to one's care) fraudulently to one's own use, verb
outroar, roar louder than, verb
powderize, become powder or dust, verb
tattooing, stain (skin) with indelible color, verb
slotting, assign a time slot, verb
proportioned, give pleasant proportions to, verb
fortifying, make strong or stronger, verb
aborted, terminate before completion, verb
overspecialize, become overly specialized, verb
emplane, board a plane, verb
recollected, recall knowledge from memory; have a recollection, verb
shoo, drive away by crying `shoo!', verb
devour, destroy completely, verb
disagree, be of different opinions, verb
bedew, cover with drops of dew or as with dew, verb
allege, report or maintain, verb
overruling, rule against, verb
cohere, come or be in close contact with; stick or hold together and resist separation, verb
clinging, come or be in close contact with; stick or hold together and resist separation, verb
perfecting, make perfect or complete, verb
thicken, make thick or thicker, verb
circularize, canvass by distributing letters, verb
did, engage in, verb
nigrified, make or become black, verb
crusted, form a crust or form into a crust, verb
congest, become or cause to become obstructed, verb
contorted, twist and press out of shape, verb
declined, grow worse, verb
unsolder, remove the soldering from, verb
indulge, give free rein to, verb
sweeten, make sweeter in taste, verb
admit, declare to be true or admit the existence or reality or truth of, verb
repudiate, cast off, verb
etherize, anesthetize with ether, verb
esterify, change (a compound) into an ester, verb
permeate, spread or diffuse through, verb
attitudinize, assume certain affected attitudes, verb
derived, reason by deduction; establish by deduction, verb
presuppose, take for granted or as a given; suppose beforehand, verb
communicate, transmit information, verb
creolize, develop into a creole, verb
touring, make a tour of a certain place, verb
snowshoed, travel on snowshoes, verb
toiling, work hard, verb
clitter, make a shrill creaking noise by rubbing together special bodily structures, verb
misally, make a bad alliance; ally inappropriately, verb
mediate, act between parties with a view to reconciling differences, verb
niggle, worry unnecessarily or excessively, verb
cremate, reduce to ashes, verb
scavenge, clean refuse from, verb
shamanize, practice shamanism, verb
needling, goad or provoke as by constant criticism, verb
prognosticate, make a prediction about; tell in advance, verb
unharness, remove the harness from, verb
beggaress, be beyond the resources of, verb
intercede, act between parties with a view to reconciling differences, verb
delighted, give pleasure to or be pleasing to, verb
consider, deem to be, verb
equaling, be identical or equivalent to, verb
polling, get the opinions (of people) by asking specific questions, verb
inflated, exaggerate or make bigger, verb
deactivate, remove from active military status or reassign, verb
wetted, cause to become wet, verb
impinge, impinge or infringe upon, verb
mismate, provide with an unsuitable mate, verb
sough, make a murmuring sound, verb
sluicing, pour as if from a sluice, verb
zipping, close with a zipper, verb
reinvent, bring back into existence, verb
dizzy, make dizzy or giddy, verb
bespoke, be a signal for or a symptom of, verb
synchronized, make synchronous and adjust in time or manner, verb
overlaid, put something on top of something else, verb
overseed, watch and direct, verb
interstratify, arrange rocks in alternating strata, verb
superannuate, retire and pension (someone) because of age or physical inability, verb
interpellate, question formally about policy or government business, verb
overcome, win a victory over, verb
reseat, provide with a new seat, verb
becalm, make steady, verb
stuffed, cram into a cavity, verb
rootle, dig with the snout, verb
jingled, make a sound typical of metallic objects, verb
revet, construct a revetment, verb
overpopulate, cause to have too great a population, verb
exenterate, remove the contents of (an organ), verb
quitted, put an end to a state or an activity, verb
rescind, cancel officially, verb
acerbate, cause to be bitter or resentful, verb
disappoint, fail to meet the hopes or expectations of, verb
tabulate, arrange or enter in tabular form, verb
punctured, pierce with a pointed object; make a hole into, verb
disestablish, deprive (an established church) of its status, verb
opalize, make opalescent, verb
nickeling, plate with nickel, verb
counterstrike, make a counterattack, verb
charioted, transport in a chariot, verb
querying, pose a question, verb
promising, make a promise or commitment, verb
waddling, walk unsteadily, verb
comprehend, get the meaning of something, verb
pimping, arrange for sexual partners for others, verb
scarring, mark with a scar, verb
coggle, walk unsteadily, verb
vitaminize, add vitamins as a supplement, verb
dine, have supper; eat dinner, verb
valued, fix or determine the value of; assign a value to, verb
nasalize, speak nasally or through the nose, verb
frocking, put a frock on, verb
elongate, make long or longer by pulling and stretching, verb
mistrusting, regard as untrustworthy; regard with suspicion; have no faith or confidence in, verb
helmed, be at or take the helm of, verb
entrust, confer a trust upon, verb
impute, attribute or credit to, verb
affiance, give to in marriage, verb
shun, avoid and stay away from deliberately; stay clear of, verb
demagnetize, erase (a magnetic storage device), verb
circumscribe, draw a line around, verb
cranked, travel along a zigzag path, verb
counteracting, act in opposition to, verb
desponding, lose confidence or hope; become dejected, verb
gurgling, flow in an irregular current with a bubbling noise, verb
untangle, release from entanglement of difficulty, verb
arterialize, change venous blood into arterial blood, verb
resent, feel bitter or indignant about, verb
outride, hang on during a trial of endurance, verb
sanitate, provide with sanitary facilities or appliances, verb
constitute, form or compose, verb
slue, turn sharply; change direction abruptly, verb
pettifog, argue over petty things, verb
bloody, cover with blood, verb
inhale, draw deep into the lungs in by breathing, verb
sorted, examine in order to test suitability, verb
leant, to incline or bend from a vertical position, verb
sharpen, make sharp or sharper, verb
roughings, prepare in preliminary or sketchy form, verb
satisfied, meet the requirements or expectations of, verb
tormenting, torment emotionally or mentally, verb
soften, make (images or sounds) soft or softer, verb
dandle, move (a baby) up and down in one's arms or on one's knees, verb
enact, order by virtue of superior authority; decree, verb
stonewall, obstruct or hinder any discussion, verb
sought, try to get or reach, verb
institutionalize, cause to be admitted; of persons to an institution, verb
leasing, let for money, verb
longs, desire strongly or persistently, verb
mythicize, interpret as a myth or in terms of mythology, verb
reappear, appear again, verb
delineate, show the form or outline of, verb
stunning, make senseless or dizzy by or as if by a blow, verb
keeled, walk as if unable to control one's movements, verb
targeted, intend (something) to move towards a certain goal, verb
batfowling, catch birds by temporarily blinding them, verb
extravasate, force out or cause to escape from a proper vessel or channel, verb
supplant, take the place or move into the position of, verb
elope, run away secretly with one's beloved, verb
cankered, become infected with a canker, verb
refinance, renew the financing of, verb
barbed, provide with barbs, verb
sphacelated, undergo necrosis, verb
nominated, propose as a candidate for some honor, verb
floundering, walk with great difficulty, verb
betting, maintain with or as if with a bet, verb
toed, walk so that the toes assume an indicated position or direction, verb
glutting, overeat or eat immodestly; make a pig of oneself, verb
overstress, place special or excessive emphasis on, verb
enlist, join the military, verb
hued, take on color or become colored, verb
slipping, move stealthily, verb
oxidizing, enter into a combination with oxygen or become converted into an oxide, verb
delude, be false to; be dishonest with, verb
hoodwink, influence by slyness, verb
nazify, cause or force to adopt Nazism or a Nazi character, verb
pretended, make believe with the intent to deceive, verb
underlie, be or form the base for, verb
snuffling, sniff or smell inquiringly, verb
betroth, give to in marriage, verb
dignify, confer dignity or honor upon, verb
decollated, cut the head of, verb
tog, provide with clothes or put clothes on, verb
assail, attack someone physically or emotionally, verb
pranking, dress or decorate showily or gaudily, verb
vocalize, utter with vibrating vocal chords, verb
rid, relieve from, verb
malnourished, provide with insufficient quality or quantity of nourishment, verb
sanitize, make sanitary by cleaning or sterilizing, verb
hucksteress, sell or offer for sale from place to place, verb
feminize, assume (more) feminine characteristics, verb
elated, fill with high spirits; fill with optimism, verb
crystallize, cause to take on a definite and clear shape, verb
dwelt, think moodily or anxiously about something, verb
represent, take the place of or be parallel or equivalent to, verb
plunderess, take illegally; of intellectual property, verb
underexpose, expose to too little light, verb
accomplish, put in effect, verb
mitigate, lessen or to try to lessen the seriousness or extent of, verb
loiter, be about, verb
pronate, turn the forearm or the hand so that the palm is directed downwards, verb
flense, strip the blubber or skin from (a whale or seal), verb
relativize, consider or treat as relative, verb
emasculate, deprive of strength or vigor, verb
accommodating, be agreeable or acceptable to, verb
formalize, make formal or official, verb
accurse, curse or declare to be evil or anathema or threaten with divine punishment, verb
catabolize, subject to catabolism, verb
meliorate, to make better, verb
nodding, express or signify by nodding, verb
marked, attach a tag or label to, verb
sleeking, make slick or smooth, verb
misinform, give false or misleading information to, verb
spay, remove the ovaries of, verb
scrounge, collect or look around for (food), verb
lacerated, cut or tear irregularly, verb
frighten, cause fear in, verb
framed, enclose in or as if in a frame, verb
bobbed, move up and down repeatedly, verb
entwine, tie or link together, verb
galloping, ride at a galloping pace, verb
exude, release (a liquid) in drops or small quantities, verb
sparing, refrain from harming, verb
inspissate, make viscous or dense, verb
imbricated, place so as to overlap, verb
formularize, express as a formula, verb
etch, make an etching of, verb
inveigh, complain bitterly, verb
dematerialize, become immaterial; disappear, verb
debase, corrupt morally or by intemperance or sensuality, verb
starve, be hungry; go without food, verb
platitudinize, utter platitudes, verb
bevelled, cut a bevel on; shape to a bevel, verb
blinked, briefly shut the eyes, verb
caponize, convert a cock into a capon, verb
blat, cry plaintively, verb
flocculate, form into an aggregated lumpy or fluffy mass, verb
copulate, engage in sexual intercourse, verb
exserted, thrust or extend out, verb
blundering, commit a faux pas or a fault or make a serious mistake, verb
ridging, extend in ridges, verb
pertain, be relevant to, verb
burble, flow in an irregular current with a bubbling noise, verb
glaring, look at with a fixed gaze, verb
reposit, put (something) in a place for storage, verb
remain, stay the same; remain in a certain state, verb
polymerize, cause (a compound) to polymerize, verb
birching, whip with a birch twig, verb
disarticulate, separate at the joints, verb
